"CNumber","Inhibitor","Brutto","MW","Action","Reference","Reference 2","PMID2","Patent","Commercial Vendor","CAS","InChI","InChI Key","PubChem CID","SMILES","Alt Name"
"351","MLi-2","C21H25N5O2","","LRRK2","Matthew J. Fell (2015) Journal of Pharmacology and Experimental Therapeutics 355(3) 397-409","","","WO2014134774","","","InChI=1S/C21H25N5O2/c1-13-10-26(11-14(2)27-13)19-9-18(22-12-23-19)20-16-8-15(28-21(3)6-7-21)4-5-17(16)24-25-20/h4-5,8-9,12-14H,6-7,10-11H2,1-3H3,(H,24,25)","ATUUNJCZCOMUKD-UHFFFAOYSA-N","","CC1CN(CC(O1)C)c2cc(ncn2)c3c4cc(ccc4[nH]n3)OC5(CC5)C","SHN-2342"
"134","MLN120B","C19H17Cl3N4O2","439.72","IKKb","Nagashima K. Fraser C.C. (2006) Blood 107 4266-4273","Catley M.C. Newton R. (2006) Mol.Pharmacol. 70 697-705","16687566","","","","","","","","SHN-885, MLN 120B, MLN-120B"
"171","MLN4924","C21H26ClN5O4S","479.98","NEDD8-activating enzyme","Teresa A. Soucy (2009) Nature 458 732-736 ","","","","Active Biochem","905579-51-3","InChI=1S/C21H25N5O4S/c22-31(28,29)30-11-14-9-15(10-19(14)27)26-8-7-17-20(23-12-24-21(17)26)25-18-6-5-13-3-1-2-4-16(13)18/h1-4,7-8,12,14-15,18-19,27H,5-6,9-11H2,(H2,22,28,29)(H,23,24,25)/t14-,15+,18-,19-/m0/s1","MPUQHZXIXSTTDU-QXGSTGNESA-N","16720766","C1CC2=CC=CC=C2C1NC3=NC=NC4=C3C=CN4C5CC(C(C5)O)COS(=O)(=O)N","SHN-1197, SHN1197, SHN 1197, Pevonedistat, MLN 4924, MLN-4924"
"178","MLN9708","C20H23BCl2N2O9","517.12","Proteasome","Kupperman. E. (2010) Cancer Research 70 1970-1980","","","","Selleck","1201902-80-8","InChI=1S/C20H23BCl2N2O9/c1-10(2)5-14(21-33-17(29)8-20(34-21,19(31)32)7-16(27)28)25-15(26)9-24-18(30)12-6-11(22)3-4-13(12)23/h3-4,6,10,14H,5,7-9H2,1-2H3,(H,24,30)(H,25,26)(H,27,28)(H,31,32)/t14-,20?/m0/s1","YTXSYWAKVMZICI-PVCZSOGJSA-N","49867936","B1(OC(=O)CC(O1)(CC(=O)O)C(=O)O)C(CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl","SHN-1252, MLN-9708       , MLN 9708       , SHN1252 , SHN 1252"
"300","MRT199665","C28H31N5O2.ClH","506.04","MARK","Clark K. (2012) Proc Natl Acad Sci USA 109(42) 16986-91","","","WO2009152027","","","InChI=1S/C28H31N5O2.ClH/c1-28(2)22-16-29-27(30-19-8-5-7-18(15-19)17-32-13-3-4-14-32)31-25(22)33(26(28)35)23-12-11-21-20(23)9-6-10-24(21)34;/h5-10,15-16,23,34H,3-4,11-14,17H2,1-2H3,(H,29,30,31);1H","SRMFZWKBYMJXKK-UHFFFAOYSA-N","","CC1(c2cnc(nc2N(C1=O)C3CCc4c3cccc4O)Nc5cccc(c5)CN6CCCC6)C.Cl","SHN-1684"
"202","MRT67307","C26H36N6O2","464.60","IKKε, TBK1","Clark K. (2011) Biochem. J. 434 93-104","","","","Sigma","1190378-57-4","InChI=1S/C26H36N6O2/c33-25(21-5-2-6-21)28-11-3-10-27-24-23(20-8-9-20)17-29-26(31-24)30-22-7-1-4-19(16-22)18-32-12-14-34-15-13-32/h1,4,7,16-17,20-21H,2-3,5-6,8-15,18H2,(H,28,33)(H2,27,29,30,31)","UKBGBACORPRCGG-UHFFFAOYSA-N","44464263","C1CC(C1)C(=O)NCCCNC2=NC(=NC=C2C3CC3)NC4=CC=CC(=C4)CN5CCOCC5","SHN-1313, 1FV, SHN1313, SHN 1313, MRT 67307, MRT-67307"
"209","MSC 2032964A","C16H13F3N6O","362.31","ASK1","Guo X. (2010) EMBO Molecular Medicine 2 504-515","","","","","","InChI=1S/C16H13F3N6O/c17-16(18,19)10-6-12(21-11-3-4-11)25-13(7-10)22-15(24-25)23-14(26)9-2-1-5-20-8-9/h1-2,5-8,11,21H,3-4H2,(H,23,24,26)","XUKGFHHTSUKORV-UHFFFAOYSA-N","","c1cc(cnc1)C(=O)Nc2nc3cc(cc(n3n2)NC4CC4)C(F)(F)F","SHN-1391, SHN1391, SHN 1391"
"80","Necrostatin-1 (Nec-1)","C13H13N3OS","259.33","RIP ","Degterev A. Hitomi J. (2008) Nature Chemical Biology 4 313-321","","","WO2013013826","Merck (Calbiochem)","4311-88-0","InChI=1S/C13H13N3OS/c1-16-12(17)11(15-13(16)18)6-8-7-14-10-5-3-2-4-9(8)10/h2-5,7,11,14H,6H2,1H3,(H,15,18)","TXUWMXQFNYDOEZ-UHFFFAOYSA-N","2828334","CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32","SHN-820, Necrostatin1, Necrostatin 1, Nec1, nec 1, Necroptotic Inhibitor, Nec-1, MTH-DL-Tryptophan"
"81","Nectrostatin-1 (Nec-1 inactive analog)","C12H11N3OS","245.3","RIP","Degterev A. Hitomi J. (2008) Nature Chemical Biology 4 313-321","","","WO2007075772","Merck (Calbiochem)","64419-92-7","InChI=1S/C12H11N3OS/c16-11-10(14-12(17)15-11)5-7-6-13-9-4-2-1-3-8(7)9/h1-4,6,10,13H,5H2,(H2,14,15,16,17)/t10-/m1/s1","MPLRRPKKFHUEEL-SNVBAGLBSA-N","5371761","c1ccc2c(c1)c(c[nH]2)C[C@@H]3C(=O)NC(=S)N3","SHN-818, Nectrostatin 1, Nectrostatin1, Nec1, Nec 1"
"277","NG-25","C29H30F3N5O2","537.58","TAK1","Dzamko N (2012) PLoS ONE 7(6) e39132 10 1371","Eduardo Pauls (2012) Journal of Biological Chemistry 287 23 19216-19228","","","MedChem Express","1315355-93-1","InChI=1S/C29H30F3N5O2/c1-3-36-12-14-37(15-13-36)18-21-6-7-22(17-24(21)29(30,31)32)35-28(38)20-5-4-19(2)26(16-20)39-25-9-11-34-27-23(25)8-10-33-27/h4-11,16-17H,3,12-15,18H2,1-2H3,(H,33,34)(H,35,38)","SMPGEBOIKULBCT-UHFFFAOYSA-N","53340664","CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)C3=CC(=C(C=C3)C)OC4=C5C=CNC5=NC=C4)C(F)(F)F",""
"376","NIK SMI1 (+)  dextrorotatory","C20H19N3O4","365.39","NIK inhibitor","","","","","NF-κB inducing kinase is a therapeutic target for systemic lupus erythematosus","","","","","","SHN-2799-2"
"375","NIK SMI1 (-)  levorotatory","C20H19N3O4","365.39","NIK inhibitor","","","","","NF-κB inducing kinase is a therapeutic target for systemic lupus erythematosus","","","","","","SHN-2799-1"
"354","NIK-Novartis-T1-7","C18H14N6OS","362.41","NIK","","","","US20120214762","","","InChI=1S/C18H14N6OS/c1-18(25,16-20-8-9-26-16)6-4-12-2-3-13-14(10-12)24(11-22-13)15-5-7-21-17(19)23-15/h2-3,5,7-11,25H,1H3,(H2,19,21,23)","XIQHNMVNCJQWJR-UHFFFAOYSA-N","","CC(C#Cc1ccc2c(c1)n(cn2)c3ccnc(n3)N)(c4nccs4)O","Novartis NIK inhibitor, SHN-2235, SHN 2235, SHN2235"
"216","Novartis 12a (PKD1)","C23H29F3N6O3","494.51","PKD1","Meredith E.L. (2010) J.Med.Chem. 53 5422-5438","","","","","","","","","","SHN-1422, SHN1422, SHN 1422"
"82","NVP-BEZ 235","C30H25Cl2N5O","542.46","PI3K, Akt, mTOR","Maira S. Stauffer F. (2008) Mol. Cancer. Ther. 7 1851-1863.","","","WO2008064093","Axon","915019-65-7","InChI=1S/C30H23N5O/c1-30(2,18-31)22-9-11-23(12-10-22)35-28-24-15-19(21-14-20-6-4-5-7-25(20)32-16-21)8-13-26(24)33-17-27(28)34(3)29(35)36/h4-17H,1-3H3","JOGKUKXHTYWRGZ-UHFFFAOYSA-N","11977753","CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5","SHN-836, NVPBEZ 235, NVPBEZ235, NVP-BEZ-235, NVPBEZ-235, NVP BEZ 235, BEZ-235, BEZ235       , BEZ 235       , S1009_Selleck, Kinome_2911"
"267","OSU-03012","C26H19F3N4O","460.45","PDK1","Zhu J. (2004) Cancer Res. 64(12) 4309-18","","","","Selleck","742112-33-0","InChI=1S/C26H19F3N4O/c27-26(28,29)24-14-23(33(32-24)20-10-8-19(9-11-20)31-25(34)15-30)18-7-12-22-17(13-18)6-5-16-3-1-2-4-21(16)22/h1-14H,15,30H2,(H,31,34)","YULUCECVQOCQFQ-UHFFFAOYSA-N","10027278","C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F",""
"313","OTSSP167","C25H28Cl2N4O2","487.42","MELK","","","","","Selleck","","InChI=1S/C25H28Cl2N4O2/c1-14(32)18-12-28-22-9-8-21(16-10-19(26)25(33)20(27)11-16)30-24(22)23(18)29-17-6-4-15(5-7-17)13-31(2)3/h8-12,15,17,33H,4-7,13H2,1-3H3,(H,28,29)/t15-,17-","DKZYXHCYPUVGAF-JCNLHEQBSA-N","","CC(=O)c1c(c2nc(ccc2nc1)c3cc(c(c(c3)Cl)O)Cl)N[C@H]4CC[C@@H](CC4)CN(C)C",""
"288","Parthenolide","C15H20O3","248.32","IKKβ","Kwok B.H. (2001) Chem. Biol. 8 759-766","","","","Sigma","20554-84-1","InChI=1S/C15H20O3/c1-9-5-4-8-15(3)13(18-15)12-11(7-6-9)10(2)14(16)17-12/h5,11-13H,2,4,6-8H2,1,3H3/b9-5+/t11-,12-,13-,15+/m0/s1","KTEXNACQROZXEV-SLXBATTESA-N","6473881","CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C",""
"211","PCI-32765 (Ibrutinib)","C25H24N6O2","440.5","Btk","Honigberg L.A. (2010) Proc Natl Acad Sci 107 13075-13080","","","","Selleckchem","936563-96-1","InChI=1S/C25H24N6O2/c1-2-21(32)30-14-6-7-18(15-30)31-25-22(24(26)27-16-28-25)23(29-31)17-10-12-20(13-11-17)33-19-8-4-3-5-9-19/h2-5,8-13,16,18H,1,6-7,14-15H2,(H2,26,27,28)/t18-/m1/s1","XYFPWWZEPKGCCK-GOSISDBHSA-N","24821094","C=CC(=O)N1CCCC(C1)N2C3=C(C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=NC=N3)N","SHN 1411, SHN-1411, SHN1411"
"206","PD 0325901","C16H14F3IN2O4","482.19","MEK1","Bain J. (2007) Biochem J. 408 297–315.","Barrett SD. (2008) Bioorg. Med. Chem. Lett. 18 6501-6504.","18952427","WO2002006213","Axon","391210-10-9","InChI=1S/C16H14F3IN2O4/c17-11-3-2-10(16(25)22-26-7-9(24)6-23)15(14(11)19)21-13-4-1-8(20)5-12(13)18/h1-5,9,21,23-24H,6-7H2,(H,22,25)/t9-/m1/s1","SUDAHWBOROXANE-SECBINFHSA-N","9826528","C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O","SHN-425, PD0325901, SHN425, SHN 425, PD-0325901"
"213","PD 0325901-Cl (CI-1055-R)","C16H14O4N2F2ClI","498.65","MEK1","","","","WO2002006213","","391210-10-9","InChI=1S/C24H29N7O2/c1-15-19-14-27-24(28-20-8-7-18(13-26-20)30-11-9-25-10-12-30)29-22(19)31(17-5-3-4-6-17)23(33)21(15)16(2)32/h7-8,13-14,17,25H,3-6,9-12H2,1-2H3,(H,26,27,28,29)","AHJRHEGDXFFMBM-UHFFFAOYSA-N","5330286","CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C","SHN-388, PD0325901, 2euf, PD-0325901, SHN388, SHN 388"
"214","PD 0325901-Cl (CI-1055-Racemic mix of isomers)","C16H14O4N2F2ClI","498.65","MEK1","","","","WO2002006213","","391210-10-9","InChI=1S/C16H14ClF2IN2O4/c17-11-5-8(20)1-4-13(11)21-15-10(2-3-12(18)14(15)19)16(25)22-26-7-9(24)6-23/h1-5,9,21,23-24H,6-7H2,(H,22,25)/t9-/m0/s1 Copy","FCADPEDUULETPK-VIFPVBQESA-N","","C1=CC(=C(C=C1I)Cl)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@H](CO)O","SHN-342, SHN342, SHN 342"
"83","PD 0325901-Cl (CI-1055-S)","C16H14O4N2F2ClI","498.65","MEK1","","","","WO2002006213","Caymanchem","391210-10-9","InChI=1S/C16H14ClF2IN2O4/c17-11-5-8(20)1-4-13(11)21-15-10(2-3-12(18)14(15)19)16(25)22-26-7-9(24)6-23/h1-5,9,21,23-24H,6-7H2,(H,22,25)/t9-/m0/s1 ","FCADPEDUULETPK-VIFPVBQESA-N","160968186","C1=CC(=C(C=C1I)Cl)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@H](CO)O","SHN-344, PD0325901, PD0325901-Cl , PD0325901Cl , PD 0325901Cl , PD 0325901-Cl "
"160","PD 0332991","C24H30ClN7O2","483.99","CDK4, CDK6","Toogood P.L. (2005) J.Med.Chem. 48 2388-2406.","","","","Selleck","827022-32-2","InChI=1S/C24H29N7O2/c1-15-19-14-27-24(28-20-8-7-18(13-26-20)30-11-9-25-10-12-30)29-22(19)31(17-5-3-4-6-17)23(33)21(15)16(2)32/h7-8,13-14,17,25H,3-6,9-12H2,1-2H3,(H,26,27,28,29)","AHJRHEGDXFFMBM-UHFFFAOYSA-N","5330286","CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C","SHN-1106, PD0332991, PD-0332991"
"84","PD 184352 (CI-1040)","C17H14ClF2IN2O2","478.66","MEK1, Yes1, ERK1","Mayes PA. (2013) Int J Cancer. E149-57","","","WO1998037881","Axon","212631-79-3","InChI=1S/C17H14ClF2IN2O2/c18-12-7-10(21)3-6-14(12)22-16-11(4-5-13(19)15(16)20)17(24)23-25-8-9-1-2-9/h3-7,9,22H,1-2,8H2,(H,23,24)","GFMMXOIFOQCCGU-UHFFFAOYSA-N","6918454","C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl","SHN-205, PD184352, PD184352 (CI-1040), PD-184352 (CI-1040), PD 184352 (CI-1040), PD 184352 (CI1040), PD 184352 (CI 1040), PD184352 (CI-1040), PD-184352, PD 184352, CI1040, CI 1040, CI-1040"
"262","PF3644022","C21H18N4OS","374.46","MAPKAPK2","Mourey (2010) J.Pharmacol.Exp.Ther. 333 797","","","","Tocris","1276121-88-0","","","","","SHN-1668"
"264","PF4708671","C19H21F3N6","390.41","S6K1","Pearce (2010) Biochem.J. 431 245","","","","Tocris","1255517-76-0","","","","",""
"85","PI-103","C19H16N4O3","348.36","PI3K","Samuels Y. (2004) Science 304 554","","","WO2001083456","Merck (Calbiochem)","371935-74-9","InChI=1S/C19H16N4O3/c24-13-4-1-3-12(11-13)17-21-15-14-5-2-6-20-19(14)26-16(15)18(22-17)23-7-9-25-10-8-23/h1-6,11,24H,7-10H2","TUVCWJQQGGETHL-UHFFFAOYSA-N","9884685","C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O","SHN-292, PI103, PI 103, X6K, S1038_Selleck, Kinome_3597, PI+103"
"86","Piceatannol","C14H12O4","244.2","PKA, SYK","Wang B.H.  (1998) Planta Med. 64 195","Keely P.J. and Parise L.V. (1996) J. Biol. Chem. 271 26668","8900143","WO2012021964","Merck (Calbiochem)","10083-24-6","InChI=1S/C14H12O4/c15-11-5-10(6-12(16)8-11)2-1-9-3-4-13(17)14(18)7-9/h1-8,15-18H/b2-1+","CDRPUGZCRXZLFL-OWOJBTEDSA-N","667639","C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O","astringinin, 3-Hydroxyresveratol, CHEBI:28814"
"87","Pirfenidone","C12H11NO","185.23","Antifibrotic agent, SAPK","Kehrer and Margolin (1997) Toxicol. Lett. 90 125","Iyer  (1999)  J.Pharmacol.Exp.Ther. 289 211","10087006","WO2005040758","Tocris","53179-13-8","InChI=1S/C12H11NO/c1-10-7-8-12(14)13(9-10)11-5-3-2-4-6-11/h2-9H,1H3","ISWRGOKTTBVCFA-UHFFFAOYSA-N","40632","CC1=CN(C(=O)C=C1)C2=CC=CC=C2","Deskar       , Pirespa, AMR-69, Pirfenidona, Pirfenidonum, Esbriet"
"294","PKR Inhibitor","C13H8N4OS","268.3","PKR","Ingrand S (2007) FEBS Lett. 581(23):4473-8","","","","Sigma","608512-97-6","InChI=1S/C13H8N4OS/c18-13-8(3-7-4-14-5-15-7)11-9(17-13)1-2-10-12(11)19-6-16-10/h1-6H,(H,14,15)(H,17,18)/b8-3-","VFBGXTUGODTSPK-BAQGIRSFSA-N","6490494","C1=CC2=C(C3=C1NC(=O)C3=CC4=CN=CN4)SC=N2 ","Imidazolo-oxindole PKR inhibitor C16"
"223","PLX 4032 (Vemurafenib)","C23H18ClF2N3O3S","489.92","B-RAF","Bollag G. (2010) Nature 467 596-9","","","","Axon","1029872-54-5","InChI=1S/C23H18ClF2N3O3S/c1-2-9-33(31,32)29-19-8-7-18(25)20(21(19)26)22(30)17-12-28-23-16(17)10-14(11-27-23)13-3-5-15(24)6-4-13/h3-8,10-12,29H,2,9H2,1H3,(H,27,28)","GPXBXXGIAQBQNI-UHFFFAOYSA-N","42611257","CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F","Vemurafenib       , Zelboraf       , PLX4032, PLX-4032"
"88","PLX 4720 (Raf Kinase Inhibitor V)","C17H14ClF2N3O3S","413.83","B-Raf","Tsai J. (2008) Proc Natl Acad Sci USA. 3041-6","","","WO2011028540","Merck (Calbiochem)","918505-84-7","InChI=1S/C17H14ClF2N3O3S/c1-2-5-27(25,26)23-13-4-3-12(19)14(15(13)20)16(24)11-8-22-17-10(11)6-9(18)7-21-17/h3-4,6-8,23H,2,5H2,1H3,(H,21,22)","YZDJQTHVDDOVHR-UHFFFAOYSA-N","24180719","CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)Cl)F","SHN-760, PLX4720 , PLX-4720 , S1152_Selleck, Raf kinase inhibitor 5"
"89","PP1","C16H19N5","281.36","Src","Hanke (1996) J.Biol.Chem. 271 695","Liu  (1999) Chem.Biol. 6 671","10467133","WO2012109732","Enzo (Alexis)","172889-26-8","InChI=1S/C16H19N5/c1-10-5-7-11(8-6-10)13-12-14(17)18-9-19-15(12)21(20-13)16(2,3)4/h5-9H,1-4H3,(H2,17,18,19)","ZVPDNRVYHLRXLX-UHFFFAOYSA-N","1400","CC1=CC=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C(C)(C)C","Kinome_2004, AC1Q4VDK, BiomolKI_000024"
"90","PP2","C15H16ClN5","301.77","Src","Kirihara T. (2013) Exp Eye Res. S0014","","","WO2006068760","Merck (Calbiochem)","172889-27-9","InChI=1S/C15H16ClN5/c1-15(2,3)21-14-11(13(17)18-8-19-14)12(20-21)9-4-6-10(16)7-5-9/h4-8H,1-3H3,(H2,17,18,19)","PBBRWFOVCUAONR-UHFFFAOYSA-N","4878","CC(C)(C)N1C2=C(C(=N1)C3=CC=C(C=C3)Cl)C(=NC=N2)N","SHN-634, AG 1879       , 1qpe, AG-1879"
"149","PP242","C16H16N6O","308.3","mTOR","Feldman ME (2009) PLoS Biol 7(2)","","","","Sigma","1092351-67-1","InChI=1S/C16H16N6O/c1-8(2)22-16-13(15(17)18-7-19-16)14(21-22)12-6-9-5-10(23)3-4-11(9)20-12/h3-8,21,23H,1-2H3,(H2,17,18,19)/b14-12-","MTICIDWIKCANDD-OWBHPGMISA-N","24905147","CC(C)N1C2=C(C(=C3C=C4C=C(C=CC4=N3)O)N1)C(=NC=N2)N","PP-242, PP 242"
"157","PP3","C11H9N5","211.22","Src","Hou (2007)  Neurosci Lett 420 235","","","","Tocris","5334-30-5","InChI=1S/C11H9N5/c12-10-9-6-15-16(11(9)14-7-13-10)8-4-2-1-3-5-8/h1-7H,(H2,12,13,14)","KKDPIZPUTYIBFX-UHFFFAOYSA-N","4879","C1=CC=C(C=C1)N2C3=C(C=N2)C(=NC=N3)N",""
"91","Princeton's TrkA inhibitor compound 20h","C24H24BrF3N6O4S2","661.52","Trk A","Kim S.H. Tokarski J.S. (2008) Bioorg. Med. Chem. Lett. 18 634-639","","","","","","InChI=1S/C22H23BrN6O2S2.C2HF3O2/c1-14-5-6-15(11-16(14)21(31)29-9-7-28(8-10-29)19(30)12-24)32-20-13-25-22(33-20)27-18-4-2-3-17(23)26-18;3-2(4,5)1(6)7/h2-6,11,13H,7-10,12,24H2,1H3,(H,25,26,27);(H,6,7)","DJAXVHZSKDUJHC-UHFFFAOYSA-N","","Cc1ccc(cc1C(=O)N2CCN(CC2)C(=O)CN)Sc3cnc(s3)Nc4cccc(n4)Br.C(=O)(C(F)(F)F)O","SHN-753, Trk a, Trk-a"
"319","PRT062607","C19H23N9O ","393.45","SYK","Spurgeon S.E. (2013) J. Pharmacol Exp Ther. 2013 Feb. 344(2) 378-387","","","","Axon","1370261-96-3","InChI=1S/C19H23N9O/c20-15-6-1-2-7-16(15)26-19-22-11-14(17(21)29)18(27-19)25-12-4-3-5-13(10-12)28-23-8-9-24-28/h3-5,8-11,15-16H,1-2,6-7,20H2,(H2,21,29)(H2,22,25,26,27)/t15-,16+/m0/s1 ","TXGKRVFSSHPBAJ-JKSUJKDBSA-N","","C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N","P505-15, PRT-062607, PRT 062607"
"92","PS-1145","C17H11ClN4O","322.75","IKK","Castro A.C. (2003) Bioorg. Med. Chem. Lett. 13 2419-2422.","","","WO2003039545","Sigma","431898-65-6","InChI=1S/C17H11ClN4O/c18-11-6-13-12-3-5-20-9-15(12)21-16(13)14(7-11)22-17(23)10-2-1-4-19-8-10/h1-9,21H,(H,22,23)","JZRMBDHPALEPDM-UHFFFAOYSA-N","9949093","C1=CC(=CN=C1)C(=O)NC2=C3C(=CC(=C2)Cl)C4=C(N3)C=NC=C4","SHN-132, PS1145, PS 1145, CHEMBL79004, HMS3229F21, CHEBI:228017, CTK1D2755, SureCN1420453, DNC001156"
"93","Purvalanol A","C19H25ClN6O ","388.9","cyclin-dependent kinases","Gray N.S. (1998) Science 281 533 ","","","","Merck (Calbiochem)","212844-53-6","InChI=1S/C19H25ClN6O/c1-11(2)15(9-27)23-19-24-17(22-14-7-5-6-13(20)8-14)16-18(25-19)26(10-21-16)12(3)4/h5-8,10-12,15,27H,9H2,1-4H3,(H2,22,23,24,25)/t15-/m0/s1","PMXCMJLOPOFPBT-HNNXBMFYSA-N","456214","CC(C)C(CO)NC1=NC2=C(C(=N1)NC3=CC(=CC=C3)Cl)N=CN2C(C)C","PURVALANOLA, Purv, PURVALANOL-A, CHEBI:47600, NG-60, P01"
"181","Purvalanol B","C20H25ClN6O3","432.9","CDK","","","","WO1999007705","Sigma","212844-54-7","InChI=1S/C20H25ClN6O3/c1-10(2)15(8-28)24-20-25-17(16-18(26-20)27(9-22-16)11(3)4)23-12-5-6-13(19(29)30)14(21)7-12/h5-7,9-11,15,28H,8H2,1-4H3,(H,29,30)(H2,23,24,25,26)/t15-/m0/s1","ZKDXRFMOHZVXSG-HNNXBMFYSA-N","448991","CC(C)C(CO)NC1=NC2=C(C(=N1)NC3=CC(=C(C=C3)C(=O)O)Cl)N=CN2C(C)C","SHN-600, PVB, SHN600, SHN 600"
"342","QNZ","C22H20N4O","356.4","NF-κB","","","19243939","","Cayman","545380-34-5","InChI=1S/C22H20N4O/c23-17-8-11-21-20(14-17)22(26-15-25-21)24-13-12-16-6-9-19(10-7-16)27-18-4-2-1-3-5-18/h1-11,14-15H,12-13,23H2,(H,24,25,26)","IBAKVEUZKHOWNG-UHFFFAOYSA-N","509554","NC1=CC2=C(N=CN=C2NCCC3=CC=C(OC4=CC=CC=C4)C=C3)C=C1","CAY10470"
"156","Quercetagetin","C15H10O8","318.3 ","PIM1","Holder S. (2007) Mol. Cancer Ther. 6 163 ","","","","Merck (Calbiochem)","90-18-6","InChI=1S/C15H10O8/c16-6-2-1-5(3-7(6)17)15-14(22)13(21)10-9(23-15)4-8(18)11(19)12(10)20/h1-4,16-20,22H","ZVOLCUVKHLEPEV-UHFFFAOYSA-N","5281680","C1=CC(=C(C=C1C2=C(C(=O)C3=C(C(=C(C=C3O2)O)O)O)O)O)O",""
"175","R-406","C23H24FN5O5","469.46","SYK","Braselmann S. (2006) J Pharmacol Exp Ther. 319(3) 998-1008","","","","Selleck","841290-80-0","InChI=1S/C22H23FN6O5/c1-22(2)20(30)28-19-13(34-22)6-7-16(27-19)26-18-12(23)10-24-21(29-18)25-11-8-14(31-3)17(33-5)15(9-11)32-4/h6-10H,1-5H3,(H3,24,25,26,27,28,29,30)","NHHQJBCNYHBUSI-UHFFFAOYSA-N","11213558","CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C","Tamatinib, R406, R 406"
"94","Rapamycin","C51H79NO13","914.2","p70S6K","Powell D.J.  (2003) Mol. Cell Biol. 23 7794","Braun W. (1995) FASEB J. 9 63","7529736","","Merck (Calbiochem)","53123-88-9","InChI=1S/C51H79NO13/c1-30-16-12-11-13-17-31(2)42(61-8)28-38-21-19-36(7)51(60,65-38)48(57)49(58)52-23-15-14-18-39(52)50(59)64-43(33(4)26-37-20-22-40(53)44(27-37)62-9)29-41(54)32(3)25-35(6)46(56)47(63-10)45(55)34(5)24-30/h11-13,16-17,25,30,32-34,36-40,42-44,46-47,53,56,60H,14-15,18-24,26-29H2,1-10H3/b13-11+,16-12+,31-17+,35-25+/t30-,32-,33-,34-,36-,37+,38+,39+,40-,42+,43+,44-,46-,47+,51-/m1/s1","QFJCIRLUMZQUOT-HPLJOQBZSA-N","5284616","CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC","Sirolimus       , Rapamune       , WY-090217, AY-22989, CHEBI:9168, Antibiotic AY 22989"
"95","Resveratrol","C14H12O3","228.2","cyclo-oxygenase 1","Lin H.Y.  (2002) J. Urol. 168 748","Klabunde T. (2000) Nat. Struct. Biol. 7 312","10742177","","Merck (Calbiochem)","501-36-0","InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1+","LUKBXSAWLPMMSZ-OWOJBTEDSA-N","445154","C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O","trans-resveratrol       , Resvida"
"174","Rigel TRAF6 Inhibitor","C16H12ClF4N5O3S","465.81","TRAF6","","","","WO2008115259","","","InChI=1S/C16H12ClF4N5O3S/c17-10-7-9(16(19,20)21)8-22-15(10)25-3-5-26(6-4-25)30(27,28)12-2-1-11(18)13-14(12)24-29-23-13/h1-2,7-8H,3-6H2","YMUOIWDXLVPLHO-UHFFFAOYSA-N","","c1cc(c2c(c1F)non2)S(=O)(=O)N3CCN(CC3)c4c(cc(cn4)C(F)(F)F)Cl","SHN-1271, SHN1271, SHN 1271"
